job_name,company_name,location,city,district,salary,salary_min,salary_max,salary_unit,salary_count,job_type,employment_type,experience_requirement,education_requirement,platform,source_job_id,source_keyword,jd_url,jd_content,job_description,job_requirement,job_tags,skill_tags,company_industry,company_stage,company_size,welfare_tags,publish_date,crawl_time
Software Engineer Intern,,China,,,,,,,,社招/实习,社招/实习,,,LinkedIn,linkedin_seed_1,Software Engineer,https://www.linkedin.com/jobs/search/?keywords=Software%20Engineer%20Intern&location=China&seed=1,"关键词: Software Engineer Intern
地区: China
来源: LinkedIn 种子回退","关键词: Software Engineer Intern
地区: China
来源: LinkedIn 种子回退",,,,,,,,,2026-03-24 22:22:18
Data Analyst Intern,,China,,,,,,,,社招/实习,社招/实习,,,LinkedIn,linkedin_seed_2,Software Engineer,https://www.linkedin.com/jobs/search/?keywords=Data%20Analyst%20Intern&location=China&seed=2,"关键词: Data Analyst Intern
地区: China
来源: LinkedIn 种子回退","关键词: Data Analyst Intern
地区: China
来源: LinkedIn 种子回退",,,,,,,,,2026-03-24 22:22:18
Product Intern,,China,,,,,,,,社招/实习,社招/实习,,,LinkedIn,linkedin_seed_3,Software Engineer,https://www.linkedin.com/jobs/search/?keywords=Product%20Intern&location=China&seed=3,"关键词: Product Intern
地区: China
来源: LinkedIn 种子回退","关键词: Product Intern
地区: China
来源: LinkedIn 种子回退",,,,,,,,,2026-03-24 22:22:18
AI Engineer Intern,,China,,,,,,,,社招/实习,社招/实习,,,LinkedIn,linkedin_seed_4,Software Engineer,https://www.linkedin.com/jobs/search/?keywords=AI%20Engineer%20Intern&location=China&seed=4,"关键词: AI Engineer Intern
地区: China
来源: LinkedIn 种子回退","关键词: AI Engineer Intern
地区: China
来源: LinkedIn 种子回退",,,,,,,,,2026-03-24 22:22:18
Backend Intern,,China,,,,,,,,社招/实习,社招/实习,,,LinkedIn,linkedin_seed_5,Software Engineer,https://www.linkedin.com/jobs/search/?keywords=Backend%20Intern&location=China&seed=5,"关键词: Backend Intern
地区: China
来源: LinkedIn 种子回退","关键词: Backend Intern
地区: China
来源: LinkedIn 种子回退",,,,,,,,,2026-03-24 22:22:18
安全工程,,上海,上海,,,,,,,校招/社招,校招/社招,,,智联招聘,index,实习,https://xiaoyuan.zhaopin.com/search/index?refcode=4404&seed=6931170,"岗位方向: 安全工程
城市: 上海
来源: 智联校园页","岗位方向: 安全工程
城市: 上海
来源: 智联校园页",,,,,,,,,2026-03-24 22:22:20
弹药工程与爆炸技术,,上海,上海,,,,,,,校招/社招,校招/社招,,,智联招聘,index,实习,https://xiaoyuan.zhaopin.com/search/index?refcode=4404&seed=606876,"岗位方向: 弹药工程与爆炸技术
城市: 上海
来源: 智联校园页","岗位方向: 弹药工程与爆炸技术
城市: 上海
来源: 智联校园页",,,,,,,,,2026-03-24 22:22:20
特种能源技术与工程,,上海,上海,,,,,,,校招/社招,校招/社招,,,智联招聘,index,实习,https://xiaoyuan.zhaopin.com/search/index?refcode=4404&seed=7497417,"岗位方向: 特种能源技术与工程
城市: 上海
来源: 智联校园页","岗位方向: 特种能源技术与工程
城市: 上海
来源: 智联校园页",,,,,,,,,2026-03-24 22:22:20
武器发射工程,,上海,上海,,,,,,,校招/社招,校招/社招,,,智联招聘,index,实习,https://xiaoyuan.zhaopin.com/search/index?refcode=4404&seed=1862369,"岗位方向: 武器发射工程
城市: 上海
来源: 智联校园页","岗位方向: 武器发射工程
城市: 上海
来源: 智联校园页",,,,,,,,,2026-03-24 22:22:20
武器系统与工程,,上海,上海,,,,,,,校招/社招,校招/社招,,,智联招聘,index,实习,https://xiaoyuan.zhaopin.com/search/index?refcode=4404&seed=57767,"岗位方向: 武器系统与工程
城市: 上海
来源: 智联校园页","岗位方向: 武器系统与工程
城市: 上海
来源: 智联校园页",,,,,,,,,2026-03-24 22:22:20
装甲车辆工程,,上海,上海,,,,,,,校招/社招,校招/社招,,,智联招聘,index,实习,https://xiaoyuan.zhaopin.com/search/index?refcode=4404&seed=8263638,"岗位方向: 装甲车辆工程
城市: 上海
来源: 智联校园页","岗位方向: 装甲车辆工程
城市: 上海
来源: 智联校园页",,,,,,,,,2026-03-24 22:22:20
材料科学与工程,,上海,上海,,,,,,,校招/社招,校招/社招,,,智联招聘,index,实习,https://xiaoyuan.zhaopin.com/search/index?refcode=4404&seed=2287563,"岗位方向: 材料科学与工程
城市: 上海
来源: 智联校园页","岗位方向: 材料科学与工程
城市: 上海
来源: 智联校园页",,,,,,,,,2026-03-24 22:22:20
材料设计科学与工程,,上海,上海,,,,,,,校招/社招,校招/社招,,,智联招聘,index,实习,https://xiaoyuan.zhaopin.com/search/index?refcode=4404&seed=6767154,"岗位方向: 材料设计科学与工程
城市: 上海
来源: 智联校园页","岗位方向: 材料设计科学与工程
城市: 上海
来源: 智联校园页",,,,,,,,,2026-03-24 22:22:20
电缆工程,,上海,上海,,,,,,,校招/社招,校招/社招,,,智联招聘,index,实习,https://xiaoyuan.zhaopin.com/search/index?refcode=4404&seed=8233613,"岗位方向: 电缆工程
城市: 上海
来源: 智联校园页","岗位方向: 电缆工程
城市: 上海
来源: 智联校园页",,,,,,,,,2026-03-24 22:22:20
